--- TILEMAP (0x0022) Dump ---
Y=00: 00 00 00 0f 03 05 20 22 80 80 80 80 00 7f 80 80 c0 6a c0 6e 88 6c a8 6c 00 00 00 00 00 50 e8 52 00 00 00 00 00 00 00 00 00 00 00 00 c3 de 80 e0 de 80 fd de 80 1a df 80 00 00 00 00 00 00 00 00
Y=01: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 09 7f ff ff 86 59 bc 86 00 00 00 04 00 00 00 e7 28 10 00 47 00 8f 01 40 00 80 01 10 00 00 00 00 01 57 07 01 00 00 02 10 8d 02 b9 00 00 00 f4
Y=02: 01 00 00 01 00 00 00 00 00 03 00 00 00 08 00 08 00 28 00 b1 01 01 00 00 00 50 00 50 00 78 00 77 00 00 00 03 00 00 17 ad 8d b3 c6 c1 7e 00 00 00 01 44 09 00 8d 02 b9 00 00 00 28 00 6c 40 00 89
Y=03: 01 00 00 01 00 00 00 01 00 01 00 00 00 00 00 00 03 00 03 0d 02 39 00 00 00 00 00 00 00 00 39 6f 32 02 05 23 00 00 00 00 00 00 00 00 00 04 ff 01 01 40 05 06 0a ff 00 04 0a 23 0a 00 5e 01 00 00
Y=04: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0d 02 39 00 28 01 68 01 00 00 00 01 00 00 00 00 00 00 0f 0f 0f 0f 07 09 09 07 07 07 07 00 00 00 00 00 09 0a 0b 0c
Y=05: 0c 0a 0b 0b 0c 0d 0e 00 00 00 00 00 04 04 04 04 03 04 04 03 03 03 03 00 00 07 07 a8 01 e8 01 04 04 6a 04 70 52 21 00 01 00 00 00 05 00 00 01 02 00 00 00 00 e1 80 e1 80 01 00 77 77 87 00 00 00
Y=06: 00 00 8d 02 b9 00 98 8e a1 8e 5d bc 09 02 29 28 ff ff ff ff ff ff ff ff ff ff ff ff ff ff 77 77 f4 01 40 00 00 00 41 00 89 01 d2 a0 d5 a0 4c d9 4e 02 13 14 ff ff ff ff ff ff ff ff ff ff ff ff
Y=07: ff ff 00 00 b8 00 00 00 00 00 4f 03 31 01 31 91 55 91 fd c4 fd 06 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 ca 00 00 00 00 00 18 02 08 02 8d 92 99 92 5e c6 fd 02 ff ff ff ff ff ff
Y=08: ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=09: 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00
Y=10: 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00
Y=11: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff
Y=12: ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff
Y=13: ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=14: 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00
Y=15: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff
Y=16: ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff
Y=17: ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Y=18: 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00
Y=19: 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00
Y=20: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff
