rank,difficultyScore,queue,tier,problemId,roomIdHex,roomName,area,objective,screens,enemyCount,staticPlanStatus,pathBlocks,onCompletionPath,onKpdrTracker,practiceStatus,teleportReady,runReady,entrySourceRoomIdHex,exitTargetRoomIdHex,difficultyReasons,stateFile,policyFile
1,0,0,easy,room_9c35_from_9b9d_to_9b9d,0x9C35,Brinstar Map Room,Brinstar,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0x9B9D,0x9B9D,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9c35_from_9b9d.state,policies/room_clears/room_9c35_from_9b9d_to_9b9d.json
2,0,0,easy,room_9c89_from_9c5e_to_9c5e,0x9C89,Green Brinstar Missile Station,Brinstar,enter_objective_and_return,1,0,planned_static,7,0,0,ready,1,1,0x9C5E,0x9C5E,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9c89_from_9c5e.state,policies/room_clears/room_9c89_from_9c5e_to_9c5e.json
3,0,0,tough,room_9879_from_9804_to_92fd,0x9879,Flyway,Crateria,traverse_to_exit,3,12,planned_static,44,1,0,ready,1,1,0x9804,0x92FD,dense enemies,custom_integrations/SuperMetroid-Snes/room_9879_from_9804.state,policies/room_clears/room_9879_from_9804_to_92fd.json
4,0,1,easy,room_9fe5_from_9ad9_to_a011,0x9FE5,Green Brinstar Beetom Room,Brinstar,traverse_to_exit,1,4,planned_static,12,0,0,ready,1,1,0x9AD9,0xA011,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_9fe5_from_9ad9.state,policies/room_clears/room_9fe5_from_9ad9_to_a011.json
5,0,1,easy,room_a051_from_a011_to_a011,0xA051,Etacoon Super Room,Brinstar,collect_and_return,1,0,planned_static,9,0,0,ready,1,1,0xA011,0xA011,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a051_from_a011.state,policies/room_clears/room_a051_from_a011_to_a011.json
6,0,1,easy,room_a07b_from_9cb3_to_9cb3,0xA07B,Dachora Energy Charge Station,Brinstar,enter_objective_and_return,1,0,planned_static,7,0,0,ready,1,1,0x9CB3,0x9CB3,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a07b_from_9cb3.state,policies/room_clears/room_a07b_from_9cb3_to_9cb3.json
7,0,1,easy,room_a0a4_from_9d19_to_9b5b,0xA0A4,Spore Spawn Farming Room,Brinstar,traverse_to_exit,3,5,planned_static,44,1,1,ready,1,1,0x9D19,0x9B5B,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a0a4_from_9d19.state,policies/room_clears/room_a0a4_from_9d19_to_9b5b.json
8,0,1,easy,room_a107_from_9f11_to_9f11,0xA107,First Missile Room,Brinstar,collect_and_return,1,0,planned_static,10,1,1,ready,1,1,0x9F11,0x9F11,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a107_from_9f11.state,policies/room_clears/room_a107_from_9f11_to_9f11.json
9,0,1,easy,room_a15b_from_a130_to_a130,0xA15B,Hopper Energy Tank Room,Brinstar,collect_and_return,1,0,planned_static,12,0,0,ready,1,1,0xA130,0xA130,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a15b_from_a130.state,policies/room_clears/room_a15b_from_a130_to_a130.json
10,0,1,easy,room_a184_from_9d19_to_9d19,0xA184,Big Pink Save Room,Brinstar,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0x9D19,0x9D19,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a184_from_9d19.state,policies/room_clears/room_a184_from_9d19_to_9d19.json
11,0,1,easy,room_a1d8_from_a1ad_to_a1ad,0xA1D8,Billy Mays' Room,Brinstar,collect_and_return,1,0,planned_static,15,0,0,ready,1,1,0xA1AD,0xA1AD,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a1d8_from_a1ad.state,policies/room_clears/room_a1d8_from_a1ad_to_a1ad.json
12,0,1,easy,room_a201_from_9ad9_to_9ad9,0xA201,Etecoon Save Room,Brinstar,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0x9AD9,0x9AD9,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a201_from_9ad9.state,policies/room_clears/room_a201_from_9ad9_to_9ad9.json
13,0,1,easy,room_a22a_from_a011_to_a011,0xA22A,Etecoon Save Room 2,Brinstar,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xA011,0xA011,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a22a_from_a011.state,policies/room_clears/room_a22a_from_a011_to_a011.json
14,0,1,easy,room_a3dd_from_a408_to_a253,0xA3DD,Bat Room,Brinstar,traverse_to_exit,2,2,planned_static,28,1,1,ready,1,1,0xA408,0xA253,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a3dd_from_a408.state,policies/room_clears/room_a3dd_from_a408_to_a253.json
15,0,1,easy,room_a618_from_a253_to_a253,0xA618,Sloaters Refill,Brinstar,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0xA253,0xA253,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a618_from_a253.state,policies/room_clears/room_a618_from_a253_to_a253.json
16,0,1,easy,room_a641_from_a56b_to_a56b,0xA641,Kraid Recharge Stations,Brinstar,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xA56B,0xA56B,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a641_from_a56b.state,policies/room_clears/room_a641_from_a56b_to_a56b.json
17,0,1,easy,room_a6e2_from_a59f_to_a59f,0xA6E2,Varia Suit Room,Brinstar,collect_and_return,1,0,planned_static,8,1,1,ready,1,1,0xA59F,0xA59F,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a6e2_from_a59f.state,policies/room_clears/room_a6e2_from_a59f_to_a59f.json
18,0,1,easy,room_a70b_from_a4da_to_a4da,0xA70B,Warehouse Save Room,Brinstar,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xA4DA,0xA4DA,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a70b_from_a4da.state,policies/room_clears/room_a70b_from_a4da_to_a4da.json
19,0,1,easy,room_a734_from_a322_to_a322,0xA734,Red Brinstar Save Room,Brinstar,visit_station_and_return,1,0,planned_static,8,0,0,ready,1,1,0xA322,0xA322,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_a734_from_a322.state,policies/room_clears/room_a734_from_a322_to_a322.json
20,0,1,easy,room_93aa_from_91f8_to_91f8,0x93AA,Crateria Power Bomb Room,Crateria,collect_and_return,2,3,planned_static,28,0,0,ready,1,1,0x91F8,0x91F8,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_93aa_from_91f8.state,policies/room_clears/room_93aa_from_91f8_to_91f8.json
21,0,1,easy,room_93d5_from_92fd_to_92fd,0x93D5,Crateria Save Room,Crateria,visit_station_and_return,1,0,planned_static,7,0,0,ready,1,1,0x92FD,0x92FD,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_93d5_from_92fd.state,policies/room_clears/room_93d5_from_92fd_to_92fd.json
22,0,1,easy,room_95d4_from_948c_to_91f8,0x95D4,Crateria Tube,Crateria,traverse_to_exit,1,0,planned_static,14,1,0,ready,1,1,0x948C,0x91F8,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_95d4_from_948c.state,policies/room_clears/room_95d4_from_948c_to_91f8.json
23,0,1,easy,room_968f_from_c98e_to_9461,0x968F,Crateria Partial Room,Crateria,traverse_to_exit,1,1,planned_static,12,0,0,ready,1,1,0xC98E,0x9461,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_968f_from_c98e.state,policies/room_clears/room_968f_from_c98e_to_9461.json
24,0,1,easy,room_98e2_from_9994_to_92fd,0x98E2,Pre-Map Flyway,Crateria,traverse_to_exit,3,4,planned_static,44,0,0,ready,1,1,0x9994,0x92FD,small low-enemy room,custom_integrations/SuperMetroid-Snes/room_98e2_from_9994.state,policies/room_clears/room_98e2_from_9994_to_92fd.json
